,date,mw
0,01.01.2022 00:00:00,11043
1,01.01.2022 00:15:00,11056
2,01.01.2022 00:30:00,11074
3,01.01.2022 00:45:00,11085
4,01.01.2022 01:00:00,11088
5,01.01.2022 01:15:00,11093
6,01.01.2022 01:30:00,11100
7,01.01.2022 01:45:00,11110
8,01.01.2022 02:00:00,11104
9,01.01.2022 02:15:00,11084
10,01.01.2022 02:30:00,11057
11,01.01.2022 02:45:00,11023
12,01.01.2022 03:00:00,10988
13,01.01.2022 03:15:00,10945
14,01.01.2022 03:30:00,10902
15,01.01.2022 03:45:00,10852
16,01.01.2022 04:00:00,10804
17,01.01.2022 04:15:00,10726
18,01.01.2022 04:30:00,10648
19,01.01.2022 04:45:00,10568
20,01.01.2022 05:00:00,10486
21,01.01.2022 05:15:00,10378
22,01.01.2022 05:30:00,10267
23,01.01.2022 05:45:00,10158
24,01.01.2022 06:00:00,10158
25,01.01.2022 06:15:00,10033
26,01.01.2022 06:30:00,9904
27,01.01.2022 06:45:00,9768
28,01.01.2022 07:00:00,9631
29,01.01.2022 07:15:00,9491
30,01.01.2022 07:30:00,9352
31,01.01.2022 07:45:00,9214
32,01.01.2022 08:00:00,9074
33,01.01.2022 08:15:00,8904
34,01.01.2022 08:30:00,8733
35,01.01.2022 08:45:00,8561
36,01.01.2022 09:00:00,8386
37,01.01.2022 09:15:00,8208
38,01.01.2022 09:30:00,8025
39,01.01.2022 09:45:00,7844
40,01.01.2022 10:00:00,7659
41,01.01.2022 10:15:00,7427
42,01.01.2022 10:30:00,7192
43,01.01.2022 10:45:00,6959
44,01.01.2022 11:00:00,6726
45,01.01.2022 11:15:00,6498
46,01.01.2022 11:30:00,6272
47,01.01.2022 11:45:00,6053
48,01.01.2022 12:00:00,5838
49,01.01.2022 12:15:00,5560
50,01.01.2022 12:30:00,5288
51,01.01.2022 12:45:00,5025
52,01.01.2022 13:00:00,4772
53,01.01.2022 13:15:00,4454
54,01.01.2022 13:30:00,4143
55,01.01.2022 13:45:00,3838
56,01.01.2022 14:00:00,3539
57,01.01.2022 14:15:00,3259
58,01.01.2022 14:30:00,2983
59,01.01.2022 14:45:00,2707
60,01.01.2022 15:00:00,2433
61,01.01.2022 15:15:00,2253
62,01.01.2022 15:30:00,2074
63,01.01.2022 15:45:00,1902
64,01.01.2022 16:00:00,1734
65,01.01.2022 16:15:00,1714
66,01.01.2022 16:30:00,1695
67,01.01.2022 16:45:00,1679
68,01.01.2022 17:00:00,1662
69,01.01.2022 17:15:00,1742
70,01.01.2022 17:30:00,1800
71,01.01.2022 17:45:00,1865
72,01.01.2022 18:00:00,1932
73,01.01.2022 18:15:00,2052
74,01.01.2022 18:30:00,2175
75,01.01.2022 18:45:00,2297
76,01.01.2022 19:00:00,2420
77,01.01.2022 19:15:00,2587
78,01.01.2022 19:30:00,2757
79,01.01.2022 19:45:00,2935
80,01.01.2022 20:00:00,3117
81,01.01.2022 20:15:00,3317
82,01.01.2022 20:30:00,3521
83,01.01.2022 20:45:00,3726
84,01.01.2022 21:00:00,3935
85,01.01.2022 21:15:00,4174
86,01.01.2022 21:30:00,4417
87,01.01.2022 21:45:00,4662
88,01.01.2022 22:00:00,4874
89,01.01.2022 22:15:00,5097
90,01.01.2022 22:30:00,5326
91,01.01.2022 22:45:00,5566
92,01.01.2022 23:00:00,5815
93,01.01.2022 23:15:00,6072
94,01.01.2022 23:30:00,6334
95,01.01.2022 23:45:00,6593
96,02.01.2022 00:00:00,7087
97,02.01.2022 00:15:00,7261
98,02.01.2022 00:30:00,7415
99,02.01.2022 00:45:00,7570
100,02.01.2022 01:00:00,7712
101,02.01.2022 01:15:00,7820
102,02.01.2022 01:30:00,7913
103,02.01.2022 01:45:00,7996
104,02.01.2022 02:00:00,8064
105,02.01.2022 02:15:00,8107
106,02.01.2022 02:30:00,8139
