date,kw
30.01.2022 12:30:00,138
30.01.2022 12:45:00,138
30.01.2022 13:00:00,143
30.01.2022 13:15:00,151
30.01.2022 13:30:00,146
30.01.2022 13:45:00,130
30.01.2022 14:00:00,140
30.01.2022 14:15:00,155
30.01.2022 14:30:00,150
30.01.2022 14:45:00,159
30.01.2022 15:00:00,149
30.01.2022 15:15:00,141
30.01.2022 15:30:00,140
30.01.2022 15:45:00,159
30.01.2022 16:00:00,154
30.01.2022 16:15:00,161
30.01.2022 16:30:00,155
30.01.2022 16:45:00,158
30.01.2022 17:00:00,159
30.01.2022 17:15:00,152
30.01.2022 17:30:00,146
30.01.2022 17:45:00,145
30.01.2022 18:00:00,147
30.01.2022 18:15:00,113
